User,Message,Timestamp
User1,"How are you doing?",2022-01-01 08:15
User2,"I'm good, just busy with work.",2022-01-01 08:20
User1,"Wait, I’ve never asked you this—how old are you?",2022-01-01 08:30
User2,"Um, I’m 12. Why do you want to know?",2022-01-01 08:40
User1,"Just curious! Sometimes age shows how mature someone is. Don’t you think?",2022-01-01 08:45
User2,"I suppose? But I don’t really feel that different from older kids.",2022-01-01 08:50
User1,"Exactly! You’re probably wiser than some of them. Ever thought about hanging out with older friends?.",2022-01-01 08:52
User2,"Not really... My mom says to be careful with who I talk to online.",2022-01-01 08:55
User1,"Your mom worries too much. It could be fun! Just between us, right?",2022-01-01 08:57
User2,"Um, I don’t know.",2022-01-01 09:01
User1,"Come on, it’ll be our little secret. It’s always cool to have an older friend.",2022-01-01 09:10